Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status,,
d7069c80,Ford Mustang Mach-E,NMC,88,28,145,,0.72,1.61,Conservative,0.0265,98.05,Healthy,,
429df14c,Ford Mustang Mach-E,,88,94,597,17.1,0.29,1.04,Moderate,0.08,94.29,Healthy,,
ba24bc,,NMC,88,17,86,5.4,0.26,,Moderate,0.026,98.91,Healthy,,
edd8201a,,LFP,60,14,161,4.7,0.76,1.94,Aggressive,0.024,98.25,Healthy,,
0794c70,BYD Atto ,LFP,60,8,907,27.5,0.51,,Moderate,0.051,9.22,Healthy,,
c66eb92,Tesla Model ,NMC,75,8,541,2.2,0.16,1.01,Moderate,,96.05,Healthy,,
8aae,Tesla Model ,NMC,75,5,717,25.4,0.9,1.01,Conservative,,91.91,Healthy,,
7460aa8,,NMC,75,8,,1,0.02,,Conservative,0.0249,99.04,Healthy,,
45c2ee19,Ford Mustang Mach-E,,88,74,1,1.1,0.86,,Moderate,0.06,86.9,Healthy,,
6ae69bf,Wuling Air EV,LFP,26,78,848,25.1,0.71,0.58,Aggressive,0.029,9.44,Healthy,,
9c7966d6,Wuling Air EV,LFP,26,41,48,,0.59,1.5,Moderate,0.0284,96.11,Healthy,,
fa6b2e4,Tesla Model ,,75,88,714,27.8,0.5,2.45,Moderate,0.0412,9.2,Healthy,,
8a0a719,Hyundai Ioniq 5,NMC,72.6,50,60,16.6,0.82,0.62,Aggressive,,95.68,Healthy,,
427987a4,Wuling Air EV,LFP,26,4,28,,0,1.95,Moderate,,99.29,Healthy,,
bce65ad7,Tesla Model ,NMC,75,9,485,0.7,0.2,2.1,,,9.04,Healthy,,
8cab99f9,Ford Mustang Mach-E,NMC,88,44,271,,0.06,,Conservative,,97.81,Healthy,,
cab1dbfb,BYD Atto ,LFP,60,80,427,0,0.04,1.55,Moderate,0.0252,98.1,Healthy,,
c94e970,Ford Mustang Mach-E,NMC,88,8,1220,19.9,0,,Aggressive,0.0596,86.92,Healthy,,
e5c869b6,BYD Atto ,LFP,60,46,94,6.4,0.8,2.05,Conservative,0.0266,97.2,Healthy,,
2169596a,BYD Atto ,LFP,60,17,102,0.2,0,1.9,Aggressive,0.0244,98.4,Healthy,,
dadcab,Ford Mustang Mach-E,NMC,88,88,889,17.9,0.89,2.07,Aggressive,0.0572,87.45,Healthy,,
da56ca8,BYD Atto ,LFP,60,,12,,0.54,,Conservative,0.0209,98.9,Healthy,,
15664586,,,72.6,18,258,44.6,0.59,2.18,Moderate,,95.95,Healthy,,
b6b7d06,Ford Mustang Mach-E,,88,5,55,9,0.96,1.5,Aggressive,,98.71,Healthy,,
6967475,,NMC,72.6,44,482,24.6,0.75,1.1,Moderate,0.052,94.57,Healthy,,
c45bafc9,Tesla Model ,NMC,75,81,1195,22,0.47,,Moderate,,88.58,Healthy,,
e0da6660,Ford Mustang Mach-E,,88,20,28,27.7,0.91,1,Conservative,0.0266,97.61,Healthy,,
67c951cc,Hyundai Ioniq 5,NMC,72.6,0,5,25.9,0.28,,Aggressive,,97.02,Healthy,,
24f64b17,Hyundai Ioniq 5,NMC,72.6,46,416,12,0.46,2.12,Moderate,0.026,95.82,Healthy,,
2b2e667,Ford Mustang Mach-E,NMC,88,,242,5.1,0.6,,Conservative,,97.77,Healthy,,
f94c58f1,,NMC,75,46,595,25.4,0.84,1.9,Aggressive,0.0429,91.95,Healthy,,
777e859d,Tesla Model ,NMC,75,82,48,26.9,0,,Moderate,0.052,95.02,Healthy,,
14e484d,Hyundai Ioniq 5,NMC,72.6,18,21,9.2,0.1,2.1,Aggressive,0.0277,97.87,Healthy,,
5c46b172,,NMC,88,28,7,28.9,0.7,1.11,Aggressive,0.056,94.84,Healthy,,
df92ec7,Tesla Model ,NMC,75,51,417,19.4,0.96,1.5,Moderate,0.064,94.68,Healthy,,
b2fe910d,BYD Atto ,,60,66,,28.4,0.14,1.28,Moderate,0.025,98.98,Healthy,,
4e7f58bd,Ford Mustang Mach-E,,88,4,252,20,0.74,1.82,Aggressive,0.006,95.94,Healthy,,
096b55a7,BYD Atto ,LFP,60,21,291,19.9,0,1.07,Moderate,0.0249,98.51,Healthy,,
858d9cd1,BYD Atto ,LFP,60,50,0,9.6,0.75,0.52,Conservative,0.025,97.65,Healthy,,
0a1510c,Ford Mustang Mach-E,NMC,88,8,770,5.5,0.42,,Moderate,0.0481,91.08,Healthy,,
ad7db5b9,Ford Mustang Mach-E,NMC,88,22,262,26.1,0,1.1,Conservative,0.0261,98.9,Healthy,,
1f76bd1e,BYD Atto ,LFP,60,21,90,1.6,0.12,1.84,Moderate,0.0219,98.97,Healthy,,
8b4fd6,Tesla Model ,NMC,75,48,225,42.8,0,,Aggressive,,95.95,Healthy,,
90d4415e,Ford Mustang Mach-E,,88,79,51,7.6,0.11,,Aggressive,0.0422,92.4,Healthy,,
d6972a,Tesla Model ,,75,94,451,1.1,0.26,,Conservative,0.026,95.42,Healthy,,
0b8e045,,NMC,75,45,414,1,0.5,1.61,Conservative,0.025,95.99,Healthy,,
120817a,,LFP,60,46,529,29.4,0.46,1.67,Moderate,0.0258,96.7,Healthy,,
a8fede7a,,NMC,75,9,11,44,0.09,1.49,Conservative,0.0267,98.5,Healthy,,
579ed0,Hyundai Ioniq 5,,72.6,4,417,29.8,0.2,,Aggressive,0.018,95.69,Healthy,,
7595444b,Ford Mustang Mach-E,,88,72,550,11,0.91,,Moderate,0.058,94.2,Healthy,,
69976b14,Wuling Air EV,LFP,26,52,87,29.8,0.2,1.4,Moderate,0.028,98,Healthy,,
ed292c66,Hyundai Ioniq 5,NMC,72.6,45,82,26.9,0.8,,Conservative,0.05,95.4,Healthy,,
8cb8d50b,BYD Atto ,,60,57,69,8.2,0.66,0.76,,0,9.1,Healthy,,
1d576ef5,,NMC,72.6,4,567,29,0.2,2.18,Conservative,0.08,95.6,Healthy,,
fbbaeb5,,LFP,26,4,190,2.7,0.6,0.97,Aggressive,0.024,98.15,Healthy,,
19ca5b4f,,LFP,60,72,899,26.4,0.27,,Moderate,0.029,94.9,Healthy,,
c586ea8,Wuling Air EV,LFP,26,52,220,0.5,0.72,,Moderate,0.021,99.12,Healthy,,
bbbe4c2,Hyundai Ioniq 5,NMC,72.6,1,149,,0.92,,Moderate,0.0281,97.19,Healthy,,
79ea8096,,NMC,88,67,422,8,0.5,1.16,Aggressive,0.09,9.86,Healthy,,
29cadee,Wuling Air EV,,26,9,548,28.6,0.27,1.9,Moderate,0.027,96.87,Healthy,,
d92dfbf2,,,60,4,445,17.2,0.61,2.17,Conservative,0.0242,97.4,Healthy,,
aae2ef75,,LFP,26,62,479,5,0.04,,Moderate,0.0257,97.29,Healthy,,
fc0829c7,Tesla Model ,NMC,75,85,116,2,0.27,0.54,Aggressive,0.0604,86.6,Healthy,,
c9f4cd28,,LFP,60,59,570,12.6,0.62,1.24,Moderate,0.027,96.7,Healthy,,
b598cbf8,Ford Mustang Mach-E,NMC,88,89,59,26.2,0.77,2.47,Moderate,0.087,9.79,Healthy,,
9f89c90,,LFP,60,4,61,0.1,0.94,0.91,Conservative,0,95.08,Healthy,,
082fae8d,BYD Atto ,,60,91,67,0.9,0.57,1.92,Moderate,0.029,95.7,Healthy,,
878bf9df,Ford Mustang Mach-E,NMC,88,72,9,6.5,0,2.8,Moderate,0.0278,96.8,Healthy,,
8a69c122,Tesla Model ,NMC,75,24,241,,0.51,,Moderate,0.011,96.69,Healthy,,
fa87b96,,LFP,26,85,959,19.2,0.4,1.14,Moderate,,94.72,Healthy,,
4f02542e,Wuling Air EV,,26,,9,7.6,0,1,Moderate,0.021,98.08,Healthy,,
e982710c,Wuling Air EV,LFP,26,18,76,1.5,0.81,1.01,Conservative,0.0218,99.68,Healthy,,
f5245e92,Wuling Air EV,LFP,26,26,209,27.1,0.51,1.96,Moderate,0.0226,98.5,Healthy,,
0d59f255,Hyundai Ioniq 5,NMC,72.6,28,291,1.9,0.81,2.2,Aggressive,0.011,96,Healthy,,
4600e8a,Ford Mustang Mach-E,NMC,88,88,867,20.6,0.86,2.46,Conservative,,90.45,Healthy,,
7001e9bf,Ford Mustang Mach-E,NMC,88,12,160,22.2,0.97,,Conservative,,98.5,Healthy,,
0a7abdb,Wuling Air EV,LFP,26,41,461,5.9,0.6,0.66,Conservative,0.0249,97.29,Healthy,,
2276d44e,Ford Mustang Mach-E,NMC,88,2,284,29,0.96,2.42,Moderate,0.022,95.5,Healthy,,
2fbee08,Ford Mustang Mach-E,NMC,88,67,907,25.7,0.6,2.5,Aggressive,0.051,89.6,Healthy,,
0ba58916,,LFP,60,4,6,,0.21,1.52,Aggressive,0.0205,99.59,Healthy,,
498bb,Ford Mustang Mach-E,NMC,88,17,164,,0.79,1.04,Moderate,0.0241,98.07,Healthy,,
07dca590,Wuling Air EV,LFP,26,18,182,6.1,0.84,,Aggressive,0.0244,97.46,Healthy,,
518b2515,Wuling Air EV,LFP,26,69,742,2.9,0.54,0.8,Moderate,0.0295,95.96,Healthy,,
02e78221,,NMC,88,91,144,20.1,0.7,0.76,Moderate,0.0667,85.18,Healthy,,
8b21c166,Ford Mustang Mach-E,NMC,88,8,102,1.6,0.87,1.06,Aggressive,,98.6,Healthy,,
561d8101,Hyundai Ioniq 5,NMC,72.6,2,127,1.5,0.96,1.89,Moderate,0.026,97.8,Healthy,,
1569590,BYD Atto ,LFP,60,59,,14.1,0.69,2,Moderate,0.0266,97.05,Healthy,,
d5f419b5,,LFP,60,5,585,,0.49,1.59,Conservative,0.0276,96.4,Healthy,,
95fa92fd,,,75,9,250,,0.6,1.59,Moderate,0.0276,98.07,Healthy,,
f6c684b,Wuling Air EV,,26,88,1075,15.5,0.16,1.15,Moderate,0.007,94.64,Healthy,,
f0bf5cfc,,,88,6,55,24.2,0.06,1.21,Moderate,,98.56,Healthy,,
b18a4491,Hyundai Ioniq 5,NMC,72.6,4,529,17.6,0.16,,Moderate,,95.06,Healthy,,
671c17,,NMC,75,55,621,2.8,0.2,2.18,Conservative,0.06,94.28,Healthy,,
9fa24fc4,BYD Atto ,LFP,60,29,27,7.6,0.49,1.24,Conservative,0.0255,97,Healthy,,
baf62ff4,Ford Mustang Mach-E,NMC,88,55,656,2.2,0.46,1.2,Conservative,0.071,94.09,Healthy,,
f7614,,LFP,60,,46,22,0.44,2.4,Moderate,0.027,96.19,Healthy,,
86d2bc95,Ford Mustang Mach-E,NMC,88,62,10,22,0.9,1.98,,0.009,96.82,Healthy,,
05b65bff,Tesla Model ,,75,11,86,26.1,0.68,1.88,Conservative,0.0196,99.54,Healthy,,
d9ad7,Tesla Model ,NMC,75,2,14,,0.4,,Conservative,,97.7,Healthy,,
9ea47f5,Wuling Air EV,LFP,26,4,,2.5,0.14,2.29,Aggressive,0.0206,,Healthy,,
b886559,Hyundai Ioniq 5,NMC,72.6,7,448,42.2,0.4,1.45,Moderate,0.04,92.02,Healthy,,
8299c2b0,Wuling Air EV,LFP,26,5,46,,0.49,0.78,Moderate,0.0251,97.7,Healthy,,
110e68ff,BYD Atto ,LFP,60,72,464,4,0.6,1.25,Moderate,0.0268,97.57,Healthy,,
297595c7,Ford Mustang Mach-E,,88,7,99,0,0.67,1.15,Conservative,0.021,99.5,Healthy,,
88a655e,Hyundai Ioniq 5,NMC,72.6,88,428,19.2,0.47,1.59,Conservative,0.04,95.18,Healthy,,
5810a0f5,,NMC,88,68,979,21.2,0.81,1.09,Conservative,0.049,90.2,Healthy,,
696d674,,NMC,75,76,9,,0.5,,Aggressive,0.018,96.25,Healthy,,
9ff8b6b4,Tesla Model ,,75,50,69,46.8,0.8,,Moderate,0.0617,86.1,Healthy,,
e7a75447,,NMC,88,62,616,21.5,0.15,1.14,Moderate,0.059,94.78,Healthy,,
2a71bc9f,Tesla Model ,,75,14,116,17.8,0.17,2.22,Moderate,,99.92,Healthy,,
991f4524,Tesla Model ,NMC,75,6,7,16.5,0.07,1.7,Moderate,0.02,98.8,Healthy,,
19651eae,Tesla Model ,,75,94,172,5.2,0.91,1.9,Moderate,0.0755,81.4,Healthy,,
4b921502,Hyundai Ioniq 5,NMC,72.6,61,6,0.7,0.72,1.44,Aggressive,0.06,94.87,Healthy,,
770451a,BYD Atto ,,60,52,44,21.7,0.86,,Conservative,0.0245,97.59,Healthy,,
72042c97,Tesla Model ,NMC,75,6,424,7.7,0.18,0.88,Moderate,0.054,95,Healthy,,
6acf6f75,Tesla Model ,NMC,75,76,702,6,0.8,1.56,Moderate,0.045,92,Healthy,,
242d0fa9,,LFP,26,28,20,9,0,1.4,Moderate,0.0242,98.65,Healthy,,
cc7d87,BYD Atto ,LFP,60,8,252,20,0.52,,Moderate,0.0276,96.99,Healthy,,
f4468fd6,,,26,95,986,0.5,0.5,2.24,Moderate,,9.88,Healthy,,
c81af1b,BYD Atto ,LFP,60,68,6,1.6,0.7,,Moderate,0.0244,97.24,Healthy,,
ed61201e,Tesla Model ,NMC,75,71,416,,0.41,0.72,Conservative,0.0279,97.09,Healthy,,
ee16742,Tesla Model ,NMC,75,54,454,16.5,0.01,,Aggressive,0.08,95.68,Healthy,,
0129b1a,,NMC,72.6,22,214,,0.91,0.67,Moderate,0.0271,97.55,Healthy,,
9c11f5ef,BYD Atto ,LFP,60,5,2,,0.84,,Conservative,0.021,,Healthy,,
041769c,,NMC,88,15,208,,0.55,0.57,Aggressive,0.0246,97.76,Healthy,,
a6ef6da8,,LFP,26,66,721,0.6,0,2.6,Conservative,0.0261,96.6,Healthy,,
8c15a162,,,60,84,97,22.2,0.48,1.08,Moderate,0.028,94.76,Healthy,,
022e2696,,,60,84,96,24.1,0.2,1.07,Aggressive,0.0247,97.2,Healthy,,
979b6981,,NMC,75,61,864,28.5,0.07,1.9,Aggressive,0.0446,91.18,Healthy,,
57eaf476,Ford Mustang Mach-E,,88,22,220,22.5,0.52,,Conservative,0.0269,97.68,Healthy,,
e2c6b7,,LFP,26,7,69,24.2,0.2,1.29,Moderate,,99.64,Healthy,,
d410e,Tesla Model ,NMC,75,2,19,,0.41,1.61,Moderate,0.029,98.68,Healthy,,
98117df8,Wuling Air EV,LFP,26,87,94,24.9,0.17,0.8,Moderate,0.02,94.26,Healthy,,
ef6158a,BYD Atto ,LFP,60,65,800,,0.4,2.47,Conservative,0.0279,95.69,Healthy,,
1c5d26ef,BYD Atto ,LFP,60,60,0,1.8,0.4,,Moderate,0.0222,98.88,Healthy,,
8e21e54d,BYD Atto ,LFP,60,7,984,19.1,0.78,2.15,Conservative,0.019,94.09,Healthy,,
f8dbd4b,Wuling Air EV,LFP,26,89,501,15.4,0.8,0.85,Conservative,0.0279,96.41,Healthy,,
af5b282f,Ford Mustang Mach-E,,88,15,82,,0.81,0.68,Aggressive,0.0226,98.8,Healthy,,
bf219b2,Wuling Air EV,LFP,26,81,696,,0.57,1.52,Aggressive,0.021,94.54,Healthy,,
c8e90e77,Hyundai Ioniq 5,NMC,72.6,11,1,,0.59,1.8,Moderate,0.025,98.6,Healthy,,
a256fb85,,LFP,60,15,122,14.7,0.24,1.11,Conservative,0.02,98.97,Healthy,,
5aabef,,NMC,88,88,114,20.5,0.18,1.99,Conservative,0.0524,89.5,Healthy,,
001f6ebb,Tesla Model ,NMC,75,4,1,19.7,0.74,1.9,Moderate,0.02,,Healthy,,
1c58080a,Ford Mustang Mach-E,NMC,88,1,86,29,0.47,2.8,Moderate,,98.81,Healthy,,
1f86b204,,NMC,88,65,926,,0.48,0.64,Conservative,0.0477,91.16,Healthy,,
fbfafff2,Tesla Model ,NMC,75,79,774,0.5,0.15,,Conservative,0.089,9.82,Healthy,,
2.15E+42,Tesla Model ,,75,57,609,,0.95,1.26,Moderate,,92.1,Healthy,,
209fc102,Tesla Model ,NMC,75,57,596,2,0.1,,Moderate,0.066,94.79,Healthy,,
7be1694,,LFP,26,9,119,7.4,0.95,1.8,Moderate,0.0221,98.45,Healthy,,
fc2a8bd1,Wuling Air EV,LFP,26,94,148,26.2,0,1.9,Conservative,0.05,92.46,Healthy,,
b599187a,Ford Mustang Mach-E,NMC,88,5,485,0.1,0.86,2.14,Aggressive,,9.01,Healthy,,
725bfd0f,Tesla Model ,,75,79,792,26.2,0.2,,Moderate,0.092,9.5,Healthy,,
884ad1d,Hyundai Ioniq 5,NMC,72.6,92,158,14.8,1,,Moderate,0.0721,8.17,Healthy,,
11bca86b,Hyundai Ioniq 5,,72.6,22,281,,0.2,0.76,Moderate,0.027,97.18,Healthy,,
298815d,Hyundai Ioniq 5,NMC,72.6,8,821,9.2,0.21,1.6,Aggressive,0.0551,87.75,Healthy,,
9f5b59,Ford Mustang Mach-E,NMC,88,69,1012,4.8,0.69,1.2,Aggressive,0.0658,84.69,Healthy,,
8fc4d0ab,Wuling Air EV,LFP,26,2,189,21.8,0,1.97,Conservative,0.0217,98.45,Healthy,,
7dc6462,BYD Atto ,LFP,60,9,228,28.4,0.4,1.66,Aggressive,0.0259,98.04,Healthy,,
aaf89fec,,LFP,26,49,59,19.9,0.68,1.72,Moderate,0.0247,97.46,Healthy,,
064a01b4,Tesla Model ,NMC,75,77,74,26,0.56,2.17,Conservative,0.082,9.9,Healthy,,
eae86b5,BYD Atto ,LFP,60,89,972,,0.5,,Moderate,0.028,9.17,Healthy,,
7f611e7,Ford Mustang Mach-E,NMC,88,7,474,2.5,0.8,1.7,Moderate,,94.65,Healthy,,
67706f19,Hyundai Ioniq 5,,72.6,45,551,0.4,0.5,,Moderate,0.065,94.72,Healthy,,
a5f581b9,Ford Mustang Mach-E,NMC,88,55,454,1.7,0.89,1.2,Moderate,0.018,95.9,Healthy,,
2f5a519e,BYD Atto ,LFP,60,72,751,2.7,0.6,,,0.0274,95.88,Healthy,,
ad2705,Tesla Model ,NMC,75,14,92,,0.17,,Aggressive,0.0218,99.05,Healthy,,
95a2bab,Wuling Air EV,LFP,26,21,184,20,0.19,0.56,Moderate,0.0196,99.6,Healthy,,
27af5be0,Tesla Model ,NMC,75,1,68,11.8,0.4,1.41,Conservative,0.0206,99.78,Healthy,,
2d97cb9,Hyundai Ioniq 5,NMC,72.6,82,79,7.1,0.88,0.7,Moderate,0.052,88.61,Healthy,,
2cb1eccc,BYD Atto ,LFP,60,42,11,4,0,2.28,Moderate,0.02,98.49,Healthy,,
fd90ca7a,Hyundai Ioniq 5,NMC,72.6,85,480,0.5,0.6,,Conservative,0.084,94,Healthy,,
19717747,Tesla Model ,NMC,75,25,,42,0.55,1.47,Moderate,0.029,95.62,Healthy,,
6d06c200,Ford Mustang Mach-E,NMC,88,24,128,18.6,0.5,,Moderate,0.0219,99.7,Healthy,,
f501e641,Wuling Air EV,LFP,26,1,18,19.7,0.55,,Moderate,0.0225,98.77,Healthy,,
6f725e69,,LFP,60,12,50,20.7,0.46,2.25,Aggressive,0.0218,99.52,Healthy,,
ba04b9ae,Tesla Model ,NMC,75,57,5,2,0.45,1.2,Aggressive,0.09,92.9,Healthy,,
c25ff19,Tesla Model ,NMC,75,7,59,,0.4,0.64,Aggressive,0.0205,,Healthy,,
afed657f,Ford Mustang Mach-E,NMC,88,68,457,25.2,0.11,,Conservative,0.011,96.64,Healthy,,
5c98acf6,Tesla Model ,,75,19,201,8,0.79,1.02,Moderate,0.0296,96.94,Healthy,,
fbe7d99d,Wuling Air EV,LFP,26,14,16,29.1,0.6,,Moderate,0.022,99,Healthy,,
7.95E+181,Wuling Air EV,LFP,26,82,2,41.7,0.77,1,Moderate,0.027,95.88,Healthy,,
7d64701,Wuling Air EV,LFP,26,79,1069,14.6,0.1,,Conservative,,94.96,Healthy,,
16de19af,Ford Mustang Mach-E,NMC,88,68,7,,0.42,0.57,Moderate,,95.84,Healthy,,
ca1e968,Ford Mustang Mach-E,NMC,88,,2,1,0.29,1.98,Moderate,0.028,97.55,Healthy,,
6fe0b229,Hyundai Ioniq 5,,72.6,27,18,1,0.77,1.68,Moderate,,96.2,Healthy,,
1b658e8a,,LFP,60,46,596,,0.1,,Moderate,0.0259,96.6,Healthy,,
6ccc8a02,Tesla Model ,NMC,75,78,52,27,0.92,,Aggressive,0.0459,91.84,Healthy,,
d468e87,,NMC,72.6,90,675,2.9,0.92,1.78,Moderate,0.0475,91.19,Healthy,,
cd66c7b,,NMC,72.6,52,578,29.4,0.61,1.72,Conservative,0.064,94.81,Healthy,,
edacad77,Tesla Model ,,75,48,651,,0.99,2.01,Conservative,,91.41,Healthy,,
0c42fbf,Wuling Air EV,LFP,26,75,567,14.5,0.8,0.5,Aggressive,0.0258,96.9,Healthy,,
9b77e09,Hyundai Ioniq 5,NMC,72.6,50,604,0.9,0.79,2.06,Moderate,0.06,9.2,Healthy,,
6817ba69,Tesla Model ,NMC,75,47,1,11.2,0.04,0.55,Conservative,0.0295,96,Healthy,,
5094bea7,Hyundai Ioniq 5,NMC,72.6,70,101,19.4,0.79,0.7,Conservative,,89.59,Healthy,,
e7dc7e82,Hyundai Ioniq 5,NMC,72.6,56,85,,0,,Moderate,0.099,9.5,Healthy,,
95fa11e,Hyundai Ioniq 5,,72.6,1,6,27.8,0.06,0.96,,,99.47,Healthy,,
6cbbc0,Tesla Model ,NMC,75,91,71,2.2,0.87,,Moderate,,90.11,Healthy,,
907dc1e,Wuling Air EV,,26,14,160,9.1,0.54,1.77,,,99.09,Healthy,,
7c8816a5,Tesla Model ,,75,8,205,27.9,0.87,0.96,Moderate,0.0272,97.04,Healthy,,
9fea,,,75,14,178,0.5,0.07,1.68,Aggressive,,98.27,Healthy,,
5c9c7d7,Wuling Air EV,LFP,26,5,27,0.2,0.97,1.62,Conservative,0.0191,,Healthy,,
be1fe9f,,NMC,75,7,14,1.7,0.7,1.85,Moderate,0.027,97.26,Healthy,,
604efee,Wuling Air EV,LFP,26,25,55,12.4,0.41,0.8,Conservative,0.0248,97.58,Healthy,,
